Chytridiomycota, Chytridiomycota, , Chytridiomycetes, Rhizophydiales, Rhizophydiaceae, Rhizophydium sp. 136,, NC_003053
Chytridiomycota, Chytridiomycota, , Chytridiomycetes, Spizellomycetales, Spizellomycetaceae, Spizellomyces punctatus,, NC_003060
Chytridiomycota, Chytridiomycota, , Chytridiomycetes, Spizellomycetales, Spizellomycetaceae, Spizellomyces punctatus,, NC_003061
Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Hypocreales, Hypocreaceae, Trichoderma reesei,, NC_003388
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Naumovozyma castellii,, NC_003920
Dikarya, Ascomycota, Taphrinomycotina, Schizosaccharomycetes, Schizosaccharomycetales, Schizosaccharomycetaceae, Schizosaccharomyces octosporus,, NC_004312
Dikarya, Ascomycota, Taphrinomycotina, Schizosaccharomycetes, Schizosaccharomycetales, Schizosaccharomycetaceae, Schizosaccharomyces japonicus,, NC_004332
Dikarya, Basidiomycota, Agaricomycotina, Tremellomycetes, Tremellales, Cryptococcaceae, Cryptococcus neoformans var. grubii,, NC_004336
Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Hypocreales, Cordycipitaceae, Akanthomyces muscarius,, NC_004514
Chytridiomycota, Chytridiomycota, , Monoblepharidomycetes, Monoblepharidales, Harpochytriaceae, Harpochytrium sp. JEL105,, NC_004623
Chytridiomycota, Chytridiomycota, , Monoblepharidomycetes, Monoblepharidales, Monoblepharidaceae, Monoblepharella sp. JEL15,, NC_004624
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, [Candida] glabrata CBS 138,, NC_004691
Chytridiomycota, Chytridiomycota, , Monoblepharidomycetes, Monoblepharidales, Harpochytriaceae, Harpochytrium sp. JEL94,, NC_004760
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Kazachstania servazzii,, NC_004918
Dikarya, Ascomycota, Pezizomycotina, Leotiomycetes, Erysiphales, Erysiphaceae, Blumeria graminis f. sp. hordei,, NC_004935
Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Hypocreales, Hypocreaceae, Trichoderma harzianum,, NC_004948
Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Sordariales, Sordariaceae, Neurospora intermedia,, NC_004970
Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Hypocreales, Nectriaceae, Fusarium oxysporum f. sp. matthiolae,, NC_004975
Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Hypocreales, Nectriaceae, Fusarium oxysporum f. sp. raphani,, NC_004976
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Debaryomycetaceae, Candida parapsilosis,, NC_005253
Dikarya, Ascomycota, Pezizomycotina, Eurotiomycetes, Eurotiales, Trichocomaceae, Talaromyces marneffei,, NC_005256
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Eremothecium gossypii ATCC 10895,, NC_005789
Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricales, Marasmiaceae, Moniliophthora perniciosa,, NC_005927
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, , Starmerella bacillaris,, NC_005972
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Kluyveromyces lactis,, NC_006077
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Lachancea thermotolerans,, NC_006626
Mucoromycota, Mucoromycota, Mucoromycotina, , Mucorales, Rhizopodaceae, Rhizopus oryzae,, NC_006836
Fungi incertae sedis, Zoopagomycota, Kickxellomycotina, Harpellomycetes, Harpellales, Legeriomycetaceae, Zancudomyces culisetae,, NC_006837
Mucoromycota, Mucoromycota, Mortierellomycotina, , Mortierellales, Mortierellaceae, Mortierella verticillata,, NC_006838
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Debaryomycetaceae, Candida metapsilosis,, NC_006971
Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Debaryomycetaceae, Candida orthopsilosis,, NC_006972
Dikarya, Ascomycota, Pezizomycotina, Eurotiomycetes, Onygenales, Arthrodermataceae, Epidermophyton floccosum,, NC_007394
Dikarya, Ascomycota, Pezizomycotina, Eurotiomycetes, Eurotiales, Aspergillaceae, Aspergillus niger,, NC_007445
